Tests,Sum of 15,Ave RMSE of 15 mins,"RMSE 15 OFF, 15 OFF","RMSE 15 OFF, 15 ON","RMSE 15 ON, 15 ON","RMSE 15 ON, 15 OFF",Total Tests Used,Average RMSE
113,0,0.0782239813491111,0.156770215950174,,,,,
114,0,0.077905184428675,,,,,,
115,0,0.0776005051116315,0.155505689540307,,,,,
116,0,0.0786244031537571,,,,,,
117,0,0.0794296789033617,0.158054082057119,,,,,
118,0,0.0790989073442169,,,,,,
119,0,0.0787712408665164,0.157870148210733,,,,,
120,0,0.0784494993589915,,,,,,
121,0,0.0781282058622561,0.156577705221248,,,,,
122,0,0.0778099388888761,,,,,,
123,0,0.0774966816698556,0.155306620558732,,,,,
124,4,0.0772183013193205,,,,,,
125,15,0.0789097053801061,,0.156406387049962,,,,
126,15,0.0797493900179509,,,0.158659095398057,,,
127,15,0.0807978820735924,,,,,,
128,15,0.0810767472432059,,,0.161874629316798,,,
129,15,0.080791934000639,,,,,,
130,15,0.0805221965982486,,,0.161314130598888,,,
131,15,0.0802557981017686,,,,,,
132,15,0.0800016962266577,,,0.160257494328426,,,
133,15,0.0797517204822685,,,,,,
134,15,0.0795229945202151,,,0.159274715002484,,,
135,15,0.0792819099598891,,,,,,
136,15,0.0790532788801998,,,0.158335188840089,,,
137,15,0.0788045233713682,,,,,,
138,15,0.0785649404041507,,,0.157369463775519,,,
139,15,0.078329255042579,,,,,,
140,7,0.0798141729042057,,,,,,
141,0,0.0816710707646445,,,,0.160000325807223,,
142,0,0.0826986029729611,0.164369673737606,,,,,
143,0,0.0825353917211545,0.165233994694116,,,,,
144,2,0.0841876080244545,,,,,,
145,15,0.0841320627383981,,0.166667454459553,,,,
146,15,0.0845454540445761,,,0.168677516782974,,,
147,15,0.0843490293411539,,,,,,
148,15,0.0840866458957476,,,0.168435675236901,,,
149,15,0.0853866432578408,,,,,,
150,15,0.0857225773598996,,,0.17110922061774,,,
151,15,0.0854654797142723,,,,,,
152,15,0.0852267365650052,,,0.170692216279277,,,
153,15,0.08499453665531,,,,,,
154,15,0.0847691529524855,,,0.169763689607795,,,
